Description:	my blislab 

Size: 31	Gflop/s: 14.6
Size: 32	Gflop/s: 16.7
Size: 33	Gflop/s: 5.84
Size: 63	Gflop/s: 18
Size: 64	Gflop/s: 18.9
Size: 65	Gflop/s: 10.3
Size: 95	Gflop/s: 19.3
Size: 96	Gflop/s: 19.9
Size: 97	Gflop/s: 12.8
Size: 127	Gflop/s: 19.8
Size: 128	Gflop/s: 20.3
Size: 129	Gflop/s: 14.4
Size: 159	Gflop/s: 20.1
Size: 160	Gflop/s: 20.5
Size: 161	Gflop/s: 15.5
Size: 191	Gflop/s: 20.4
Size: 192	Gflop/s: 20.7
Size: 193	Gflop/s: 16.4
Size: 223	Gflop/s: 20.5
Size: 224	Gflop/s: 20.8
Size: 225	Gflop/s: 16.9
Size: 255	Gflop/s: 20.7
Size: 256	Gflop/s: 20.9
Size: 257	Gflop/s: 17.1
Size: 287	Gflop/s: 20.4
Size: 288	Gflop/s: 20.6
Size: 289	Gflop/s: 17.6
Size: 319	Gflop/s: 20.6
Size: 320	Gflop/s: 20.7
Size: 321	Gflop/s: 17.9
Size: 351	Gflop/s: 20.7
Size: 352	Gflop/s: 20.8
Size: 353	Gflop/s: 18.2
Size: 383	Gflop/s: 20.8
Size: 384	Gflop/s: 20.9
Size: 385	Gflop/s: 18.5
Size: 415	Gflop/s: 20.8
Size: 416	Gflop/s: 20.9
Size: 417	Gflop/s: 18.7
Size: 447	Gflop/s: 20.9
Size: 448	Gflop/s: 21.1
Size: 449	Gflop/s: 19
Size: 479	Gflop/s: 21
Size: 480	Gflop/s: 21.1
Size: 481	Gflop/s: 19.1
Size: 511	Gflop/s: 20.9
Size: 512	Gflop/s: 20.9
Size: 513	Gflop/s: 18.9
Size: 543	Gflop/s: 20.9
Size: 544	Gflop/s: 21
Size: 545	Gflop/s: 19.2
Size: 575	Gflop/s: 20.9
Size: 576	Gflop/s: 21
Size: 577	Gflop/s: 19.4
Size: 607	Gflop/s: 21
Size: 608	Gflop/s: 21.1
Size: 609	Gflop/s: 19.5
Size: 639	Gflop/s: 21
Size: 640	Gflop/s: 21.1
Size: 641	Gflop/s: 19.6
Size: 671	Gflop/s: 21
Size: 672	Gflop/s: 21.1
Size: 673	Gflop/s: 19.6
Size: 703	Gflop/s: 21.1
Size: 704	Gflop/s: 21.2
Size: 705	Gflop/s: 19.8
Size: 735	Gflop/s: 21.1
Size: 736	Gflop/s: 21.2
Size: 737	Gflop/s: 19.9
Size: 767	Gflop/s: 21.1
Size: 768	Gflop/s: 21.2
Size: 769	Gflop/s: 19.8
Size: 799	Gflop/s: 21
Size: 800	Gflop/s: 21.1
Size: 801	Gflop/s: 19.9
Size: 831	Gflop/s: 21.1
Size: 832	Gflop/s: 21.1
Size: 833	Gflop/s: 20
Size: 863	Gflop/s: 21.1
Size: 864	Gflop/s: 21.2
Size: 865	Gflop/s: 20
Size: 895	Gflop/s: 21.1
Size: 896	Gflop/s: 21.2
Size: 897	Gflop/s: 20.1
Size: 927	Gflop/s: 21.1
Size: 928	Gflop/s: 21.2
Size: 929	Gflop/s: 20.1
Size: 959	Gflop/s: 21.2
Size: 960	Gflop/s: 21.2
Size: 961	Gflop/s: 20.2
Size: 991	Gflop/s: 21.2
Size: 992	Gflop/s: 21.2
Size: 993	Gflop/s: 20.2
Size: 1023	Gflop/s: 20
Size: 1024	Gflop/s: 19.9
Size: 1025	Gflop/s: 18.6
GeoMean  = 19.48
