31	7.47
32	8.45
33	5.73
63	17.8
64	18.7
65	15.1
95	14.3
96	14.8
97	12.7
127	19.6
128	20.1
129	17.8
159	16.6
160	17
161	15.4
191	20.2
192	20.5
193	18.8
223	17.7
224	18
225	16.7
255	20.2
256	20.5
257	19.1
287	18.3
288	18.6
289	17.5
319	20.7
320	20.9
321	19.8
351	19
352	19.2
353	18.2
383	20.7
384	20.8
385	20
415	19.1
416	19.3
417	18.5
447	20.7
448	20.8
449	20
479	19.4
480	19.7
481	19
511	20.4
512	20.2
513	19.9
543	22.1
544	22.2
545	19.1
575	20.9
576	20.9
577	20.3
607	22
608	22.1
609	21.6
639	21
640	21.1
641	20.6
671	21.9
672	22
673	21.4
703	20.9
704	20.9
705	20.4
735	21.9
736	22.2
737	21.6
767	21
768	21
769	20.5
799	21.9
800	21.9
801	21.4
831	21
832	21.2
833	20.7
863	22
864	22.1
865	21.3
895	21
896	21.1
897	20.8
927	21.8
928	22
929	21.5
959	21.3
960	21.1
961	20.7
991	21.7
992	21.8
993	21.5
1023	20.1
1024	20.1
1025	19.6
1055	21.7
1056	21.8
1057	21.4
1087	22.5
1088	22.5
1089	20.8
1119	21.7
1120	21.8
1121	21.2
1151	22.2
1152	22.3
1153	22
1183	21.6
1184	21.8
1185	21.3
1215	22.2
1216	22.2
1217	21.8
1247	21.6
1248	21.8
1249	21.3
1279	22
1280	22.1
1281	21.9
1311	21.7
1312	21.7
1313	21.3
1343	22.2
1344	22.2
1345	21.8
1375	21.5
1376	21.6
1377	21.4
1407	22
1408	22.2
1409	22.1
1439	21.7
1440	21.7
1441	21.3
1471	22.3
1472	22.1
1473	21.8
1503	21.7
1504	21.7
1505	21.4
1535	21.6
1536	21.2
1537	21.3
1567	21.7
1568	21.7
1569	21.4
1599	22.2
1600	22.1
1601	21.9
1631	22.5
1632	22.5
1633	21.4
1663	22
1664	22.2
1665	21.9
1695	22.5
1696	22.6
1697	22.3
1727	22.2
1728	22.2
1729	21.9
1759	22.5
1760	22.6
1761	22.3
1791	22
1792	22.1
1793	21.9
1823	22.5
1824	22.6
1825	22.3
1855	22.2
1856	22.1
1857	21.9
1887	22.5
1888	22.6
1889	22.3
1919	22.1
1920	22.1
1921	22
1951	22.4
1952	22.5
1953	22.2
1983	22.1
1984	22
1985	21.8
2015	22.3
2016	22.4
2017	22.1
2047	20.1
2048	20.8
2049	19.9
