31	5.26
32	5.23
33	5.37
63	4.34
64	4.35
65	4.33
95	4.1
96	3.7
97	4.06
127	3.64
128	1.25
129	3.61
159	3.27
160	2.79
161	3.3
191	3.13
192	1.23
193	3.1
223	2.91
224	2.5
225	2.9
255	2.83
256	1.25
257	2.83
287	2.65
288	1.84
289	2.76
319	2.69
320	1.22
321	2.7
351	2.64
352	1.2
353	2.64
383	2.56
384	1.17
385	2.56
415	2.5
416	1.18
417	2.49
447	2.41
448	1.14
449	2.41
479	2.39
480	1.14
481	2.37
511	2.3
512	1.11
513	2.31
543	2.32
544	1.12
545	2.32
575	2.33
576	1.12
577	2.32
607	2.32
608	1.11
609	2.32
639	2.33
640	1.11
641	2.33
671	2.31
672	1.1
673	2.3
703	2.32
704	1.1
705	2.32
735	2.31
736	1.1
737	2.32
767	2.33
768	1.08
769	2.34
799	2.3
800	1.09
801	2.31
831	2.28
832	1.07
833	2.3
863	2.22
864	1.08
865	2.24
895	2.31
896	1.07
897	2.32
927	2.2
928	1.07
929	2.23
959	2.24
960	1.07
961	2.26
991	2.17
992	1.07
993	2.19
1023	2.26
1024	1.07
1025	2.27
2047	0.649
2048	0.625
