31	17
32	18.3
33	15.7
63	19.2
64	20.1
65	18.3
95	22.9
96	23.7
97	19.8
127	22.8
128	23.6
129	22.4
159	22.9
160	23.4
161	22.4
191	24.2
192	24.6
193	22.4
223	23.8
224	24.2
225	23.4
255	23.7
256	24
257	23
287	23.6
288	23.8
289	22.4
319	22.9
320	23.2
321	22.9
351	23
352	23.2
353	22.6
383	22.5
384	23.8
385	22.3
415	22.5
416	22.7
417	22.4
447	22.1
448	22.4
449	21.9
479	22.2
480	22.7
481	21.8
511	22.1
512	22.3
513	21.7
543	21.6
544	21.9
545	21.5
575	22
576	22.2
577	21.5
607	21.8
608	22.1
609	21.8
639	21.8
640	21.7
641	21.5
671	21.8
672	22.1
673	21.4
703	22
704	22.3
705	21.9
735	22
736	21.9
737	21.7
767	21.9
768	22.2
769	21.8
799	22.1
800	22.3
801	21.8
831	21.8
832	22
833	21.7
863	22
864	22.5
865	21.9
895	22.2
896	22.5
897	21.9
927	21.8
928	22.1
929	21.8
959	22.4
960	22.5
961	21.9
991	22.1
992	22.3
993	21.9
1023	22.2
1024	22.5
1025	21.8
1055	22.1
1056	22.2
1057	21.8
1087	22.3
1088	22.5
1089	22.4
1119	21.8
1120	22
1121	21.7
1151	22.4
1152	22.6
1153	22
1183	22.1
1184	22.2
1185	22.2
1215	22.1
1216	22.3
1217	21.6
1247	21.8
1248	22.4
1249	22
1279	21.8
1280	22
1281	22.2
1311	22.2
1312	21.9
1313	21.8
1343	22.3
1344	22.6
1345	21.9
1375	21.9
1376	22.5
1377	21.8
1407	21.8
1408	22.4
1409	21.7
1439	22
1440	22.5
1441	22.2
1471	22.4
1472	22.4
1473	22.4
1503	22.4
1504	22.5
1505	22.3
1535	22.5
1536	22.6
1537	22.2
1567	22.5
1568	22.6
1569	22.4
1599	22.4
1600	22.5
1601	22.3
1631	22.5
1632	22.7
1633	22.2
1663	22.5
1664	22.6
1665	22.4
1695	22.4
1696	22.5
1697	22.3
1727	22.5
1728	22.4
1729	22.3
1759	22.5
1760	22.5
1761	22.3
1791	22.3
1792	22.4
1793	22.3
1823	22.3
1824	22.4
1825	22.1
1855	22.3
1856	22.3
1857	22.2
1887	22.3
1888	22.3
1889	22.2
1919	22.1
1920	22.3
1921	21.9
1951	22
1952	22.4
1953	22
1983	22
1984	22.2
1985	22.1
2015	22.1
2016	22.2
2017	21.9
2047	22.2
2048	22.3
2049	22
