Description:	my blislab 

Size: 31	Gflop/s: 4.12
Size: 32	Gflop/s: 4.6
Size: 96	Gflop/s: 15.3
Size: 97	Gflop/s: 13.2
Size: 127	Gflop/s: 20.5
Size: 128	Gflop/s: 20.7
Size: 129	Gflop/s: 9.12
Size: 191	Gflop/s: 15.5
Size: 192	Gflop/s: 15.8
Size: 229	Gflop/s: 17.6
Size: 255	Gflop/s: 20.5
Size: 256	Gflop/s: 20.4
Size: 257	Gflop/s: 12.9
Size: 319	Gflop/s: 17.3
Size: 320	Gflop/s: 16.9
Size: 321	Gflop/s: 16.3
Size: 417	Gflop/s: 16.3
Size: 479	Gflop/s: 19.4
Size: 480	Gflop/s: 19.7
Size: 511	Gflop/s: 20.6
Size: 512	Gflop/s: 20.1
Size: 639	Gflop/s: 20.8
Size: 640	Gflop/s: 20.6
Size: 767	Gflop/s: 20.9
Size: 768	Gflop/s: 20.6
Size: 769	Gflop/s: 17.5
GeoMean  = 15.76
