Description:	my blislab 

Size: 31	Gflop/s: 3.33
Size: 32	Gflop/s: 3.72
Size: 96	Gflop/s: 13.3
Size: 97	Gflop/s: 11.7
Size: 127	Gflop/s: 20.5
Size: 128	Gflop/s: 20.6
Size: 129	Gflop/s: 8.56
Size: 191	Gflop/s: 14.9
Size: 192	Gflop/s: 15.2
Size: 229	Gflop/s: 17.4
Size: 255	Gflop/s: 20.4
Size: 256	Gflop/s: 20.5
Size: 257	Gflop/s: 12.9
Size: 319	Gflop/s: 17.2
Size: 320	Gflop/s: 16.4
Size: 321	Gflop/s: 16.2
Size: 417	Gflop/s: 16.2
Size: 479	Gflop/s: 19.3
Size: 480	Gflop/s: 19.6
Size: 511	Gflop/s: 20.5
Size: 512	Gflop/s: 20.2
Size: 639	Gflop/s: 20.7
Size: 640	Gflop/s: 20.7
Size: 767	Gflop/s: 20.8
Size: 768	Gflop/s: 20.7
Size: 769	Gflop/s: 17.5
GeoMean  = 15.22
